股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600415,2026-06-12,448.74349764,457.2408948,463.3104642,447.52958376,87069253,983195950.94,3.54,11.33,1.5878,2.5408
600426,2026-06-12,263.8653415,281.3438135,288.4940975,261.382604,53498877,1498936389.6,10.22,16.19,2.5294,6.1049
600436,2026-06-12,627.05435988,636.53098376,645.95436818,623.9664712,4269618,511564631.64,3.49,6.44,0.7077,1.0224
600438,2026-06-12,156.5800062,151.0666257,157.90321752,151.0666257,91921668,1290749124.91,4.37,-5.51,2.0418,-3.5211
600460,2026-06-12,376.8541092,354.2649009,381.92290716,353.60375334,85793898,2843162227.63,7.75,-11.35,5.1557,-3.1043
600482,2026-06-12,73.7707817,70.00376306,74.73495909,69.93649487,59033145,1901201132.42,6.82,-0.34,2.6026,-0.4782
600489,2026-06-12,221.7767715,223.96330305,230.7311388,218.75727555,105695967,2278888793.3,5.57,9.06,2.1805,4.2151
600515,2026-06-12,8.3709444,8.4848348,8.4848348,8.257054,162991397,480889000.77,2.74,0.17,1.7763,2.0548
600519,2026-06-12,9523.63988224,9678.94837888,9702.09856,9477.41443968,5049478,6477910214.33,2.34,96.72,0.4039,1.0094
600522,2026-06-12,345.9296736,331.470468,356.023836,331.4022642,330123533,16532537299.14,7.33,-4.57,9.6727,-1.3599
600547,2026-06-12,495.4144524,498.82491421,518.7491911,488.05503481,82780901,2320019237.02,6.35,15.08,2.2903,3.1169
600570,2026-06-12,695.7121248,707.44310208,718.84821888,687.89147328,32346211,699544467.61,4.52,22.48,1.7081,3.2826
600584,2026-06-12,278.0877,255.54405712,281.35059568,255.2845086,186316644,13358663368.11,9.77,-11.23,10.4122,-4.2113
600585,2026-06-12,100.96191037,100.96191037,101.9871783,100.26041126,33058224,619120462.67,1.72,0.76,0.8265,0.7539
600588,2026-06-12,373.55262,373.55262,381.39722502,368.32288332,41637795,418493813.94,3.54,3.74,1.2185,1.0101
600600,2026-06-12,93.51804,94.39087504,94.7649472,92.8945864,7803230,470050835.29,1.98,-0.2,1.1004,-0.2142
600660,2026-06-12,4203.7834125,4191.77260275,4239.81584175,4159.74377675,10257783,538030242.19,1.91,-4.8,0.5121,-0.1145
600674,2026-06-12,262.2840715,263.9762268,266.51445975,261.09956279,50264494,784429578.78,2.06,1.52,1.0311,0.5803
600690,2026-06-12,836.46238392,846.47749867,851.68535834,831.65512884,72193122,1523058168.18,2.37,0.8,1.1545,0.0947
600741,2026-06-12,740.25995264,740.7048204,751.8265144,738.4804816,22627198,379314598.98,1.8,0.0,0.7177,0.0
