股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000858,2026-06-18,1350.96908352,1325.9705614,1352.36760224,1325.9705614,32684306,2499475187.41,1.95,-28.67,0.8421,-2.1164
000876,2026-06-12,92.67858994,91.55860698,92.95858568,89.03864532,92641138,602112141.15,4.24,-0.98,2.0587,-1.059
000876,2026-06-15,91.41860911,92.11859846,92.67858994,89.31864106,70057870,456175193.38,3.67,0.56,1.5568,0.6116
000876,2026-06-16,91.69860485,91.27861124,92.11859846,90.01863041,35035092,227965284.72,2.28,-0.84,0.7786,-0.9119
000876,2026-06-17,91.27861124,88.47865384,91.27861124,88.05866023,42843738,272111517.79,3.53,-2.8,0.9521,-3.0675
000876,2026-06-18,88.05866023,86.7986794,88.47865384,86.7986794,41487858,259007618.5,1.9,-1.68,0.922,-1.8987
000895,2026-06-12,580.4895624,579.76994724,585.2869968,577.61110176,12066532,291864506.94,1.32,0.0,0.3483,0.0
000895,2026-06-15,580.4895624,579.2902038,580.72943412,573.2934108,13477736,324214381.64,1.28,-0.48,0.3891,-0.0827
000895,2026-06-16,580.4895624,564.65802888,581.92879272,562.97892684,15549057,368247642.45,3.27,-14.63,0.4488,-2.5259
000895,2026-06-17,566.0972592,552.9043146,566.57700264,551.94482772,12315118,285650734.32,2.59,-11.75,0.3555,-2.0816
000895,2026-06-18,552.42457116,546.66764988,555.3030318,544.98854784,10291025,235669734.43,1.87,-6.24,0.2971,-1.128
600803,2026-06-12,110.34016488,111.25056228,111.9788802,107.30550688,12248006,222625608.49,4.22,0.61,0.3987,0.5485
600803,2026-06-15,110.82571016,106.8199616,111.00778964,105.54540524,15112992,267402823.06,4.91,-4.43,0.492,-3.9825
600803,2026-06-16,106.5164958,102.51074724,106.5164958,101.9645088,17040192,290110096.71,4.26,-4.31,0.5547,-4.0341
600803,2026-06-17,102.5714404,100.68995244,103.4818378,100.32579348,14579329,243882802.36,3.08,-1.82,0.4746,-1.7762
600803,2026-06-18,100.81133876,98.80846448,101.17549772,98.74777132,8382967,137650602.46,2.41,-1.88,0.2729,-1.8686
000963,2026-06-12,278.6431833,280.7650767,284.1408162,274.3993965,15457921,449479332.02,3.47,-0.19,0.8818,-0.0687
000963,2026-06-15,280.3792779,279.70413,281.3437749,277.775136,9715643,281237294.51,1.27,-1.06,0.5542,-0.3779
000963,2026-06-16,279.2218815,272.5668522,279.3183312,271.988154,11994650,340866103.54,2.62,-7.14,0.6842,-2.5517
000963,2026-06-17,271.7952546,267.165669,272.8562013,266.0082726,12264260,341042862.18,2.51,-5.4,0.6996,-1.9816
000963,2026-06-18,266.2976217,273.3384498,279.2218815,265.1402253,15711484,446105897.06,5.27,6.17,0.8963,2.3105
000975,2026-06-12,235.018098,236.24914518,244.64264868,232.33217688,57815144,1229465547.28,5.36,6.6,2.2913,2.8752
000975,2026-06-15,246.65708952,247.8881367,252.81232542,244.97838882,67888367,1508475498.46,3.32,11.64,2.6905,4.9266
000975,2026-06-16,250.79788458,242.2924677,250.79788458,240.38994024,44053098,959314752.96,4.2,-5.6,1.7459,-2.2573
000975,2026-06-17,242.74012122,244.86647544,250.01449092,241.7329008,40940383,897271831.28,3.42,2.57,1.6225,1.0624
000975,2026-06-18,243.9711684,235.80149166,245.53795572,232.89174378,44491639,948911386.88,5.16,-9.06,1.7633,-3.702
000977,2026-06-12,295.3249992,290.60381724,297.48468882,289.95088782,43795235,2559510496.79,2.59,0.1,2.9857,0.0346
000977,2026-06-15,293.818239,316.87167006,319.38293706,293.76801366,95952495,5915425605.99,8.81,26.27,6.5415,9.0391
000977,2026-06-16,316.419642,312.9038682,316.57031802,309.1369677,52074553,3245401370.65,2.35,-3.97,3.5501,-1.2522
000977,2026-06-17,309.43831974,323.953443,327.11763942,308.885841,68218682,4372826942.11,5.83,11.05,4.6508,3.5313
000977,2026-06-18,321.54262668,329.77958244,335.7563979,321.49240134,69547739,4556055637.88,4.4,5.83,4.7414,1.7984
000983,2026-06-12,66.96151908,69.66986504,69.66986504,66.49456288,127308427,930612319.86,4.74,2.71,2.2425,4.0446
000983,2026-06-15,67.33508404,65.8408242,67.42847528,65.18708552,154232349,1093168153.53,3.22,-3.83,2.7168,-5.496
000983,2026-06-16,65.373868,64.53334684,65.65404172,64.25317312,77153828,534693598.69,2.13,-1.31,1.359,-1.9858
000983,2026-06-17,64.53334684,62.75891328,64.81352056,62.38534832,83082101,561414001.98,3.76,-1.77,1.4635,-2.7496
000983,2026-06-18,62.38534832,59.49021988,62.75891328,59.39682864,118277960,765756261.89,5.36,-3.27,2.0834,-5.2083
600522,2026-06-12,345.9296736,331.470468,356.023836,331.4022642,330123533,16532537299.14,7.33,-4.57,9.6727,-1.3599
600522,2026-06-15,340.8143886,350.226513,351.0449586,319.7394144,309924242,15423309740.08,9.44,18.76,9.0808,5.6584
600522,2026-06-16,350.567532,369.323577,376.2121608,347.83938,317582170,17060543679.62,8.1,19.1,9.3052,5.4528
