date,w_opt,best_ret,trend_score,breadth_score,accel_decline_score,volatility_score,composite,ret_5d,ret_10d,ret_20d,ratio_ma20,vol_20,vol_60,market_up_ratio_5d,market_return_5d,market_volatility_5d,consecutive_downs,w0_ret,w1_ret,w_opt_smoothed
2026-02-09,0.4,0.10325921755928265,0.0,0.4,0.0,0.0,0.1,3.182890960451977,-0.03583954802259903,-0.3324067796610173,0.5,0.0,0.0,0.6,0.6365781920903955,0.9281963710366424,0.0,0.08104764958406026,0.08782055993660143,0.6466755449771882
2026-02-10,0.9,0.08900465293008256,0.0,0.4,0.0,0.0,0.1,2.0317,0.4684768361581918,0.19793898305084748,0.5,0.0,0.0,0.6,0.40634,0.866779790304807,0.0,0.08129776809080681,0.08900465293008256,0.7733377724885941
2026-02-11,0.3,0.1098210555421931,0.0,0.4,0.0,0.0,0.1,0.7795881355932204,0.2572209039548019,0.8002497175141245,0.5,0.0,0.0,0.6,0.15591762711864407,0.6734218559585123,0.0,0.0920072186604447,0.10254264429826455,0.5366688862442971
2026-02-12,0.1,0.11249606132451345,0.0,0.4,0.0,0.0,0.1,1.2649965909090908,-0.2806477272727272,1.1729846590909092,0.5,0.0,0.0,0.8,0.25299931818181814,0.6083796036659466,0.0,0.060749674863152685,0.0899624910570397,0.31833444312214854
2026-02-13,0.0,0.07583076338323547,0.0,0.7,0.0,0.0,0.175,0.3603454545454545,-0.005621022727272829,0.2780539772727273,0.5,0.0,0.0,0.8,0.0720690909090909,0.9024590567023969,0.0,0.07583076338323547,0.05761971284874175,0.15916722156107427
2026-02-24,0.1,0.10261169419662525,0.0,0.4,0.0,0.0,0.1,0.13005852272727259,3.2535130681818183,0.7869710227272728,0.5,0.0,0.0,0.8,0.02601170454545452,0.8287807330665478,0.0,0.07390762336131942,0.07243810487603747,0.12958361078053715
2026-02-25,0.0,0.03644082096808717,0.0,0.4,0.0,0.0,0.1,0.352404,2.363329142857143,0.7610748571428569,0.5,0.0,0.0,0.8,0.0704808,0.8446613089570739,0.0,0.03644082096808717,0.020297321153064908,0.06479180539026858
2026-02-26,0.1,0.05193248116329719,0.0,0.4,0.0,0.0,0.1,0.12633028571428562,0.9324834285714287,0.805501142857143,0.5,0.0,0.0,0.6,0.025266057142857123,0.8456621481119528,0.0,0.050506988706778694,0.04101229084100611,0.08239590269513429
2026-02-27,1.0,0.08837520254813375,0.0,0.15,0.0,0.0,0.0375,0.2547668571428571,1.529593142857143,0.8420948571428571,0.5,0.0,0.0,0.6,0.05095337142857141,0.8493168498116446,0.0,0.046933370392667095,0.08837520254813375,0.5411979513475671
2026-03-02,0.0,-0.026261124994851302,0.0,0.4,0.0,0.0,0.1,1.9304465517241378,2.2959879310344826,1.1553925287356328,0.5,0.0,0.0,0.8,0.3860893103448276,0.40483714087370576,0.0,-0.026261124994851302,-0.069748274208918,0.27059897567378355
2026-03-03,0.0,0.04087855005255246,0.0,0.4,0.5,0.0,0.225,-0.29810919540229897,-0.16741839080459786,-0.2779850574712639,0.5,0.0,0.0,0.6,-0.059621839080459794,0.6607168744146865,0.0,0.04087855005255246,0.03395335077419687,0.13529948783689177
2026-03-04,0.7,0.02708564418980785,0.6000000000000001,0.7,0.5,0.0,0.48,-1.814912643678161,-1.4660316091954024,-1.0708557471264364,0.5,0.0,0.0,0.4,-0.3629825287356322,0.7584353086928536,0.0,0.010316965541138411,0.02708564418980785,0.4176497439184459
2026-03-05,0.2,0.0660670152956866,0.25,0.4,0.5,0.0,0.3,-1.0056121387283237,-0.8545138728323699,-0.7207387283236989,0.5,0.0,0.0,0.6,-0.20112242774566474,0.9155589197820471,0.0,0.040947961245152494,0.043660263791572174,0.3088248719592229
2026-03-06,0.5,0.05950617380768129,0.25,0.4,0.5,0.0,0.3,-0.6162352601156069,-0.33606011560693616,-0.6691445086705197,0.5,0.0,0.0,0.6,-0.12324705202312139,0.9734964260295454,0.0,0.05522646435764967,0.05950617380768129,0.40441243597961146
2026-03-09,0.1,0.09728443266207151,0.4,0.4,0.5,0.0,0.345,-1.7115445086705199,0.2306404624277456,0.194111560693642,0.5,0.0,0.0,0.4,-0.342308901734104,0.949975032111003,0.0,0.0967946599213553,0.09443750867106057,0.25220621798980575
2026-03-10,0.0,0.07737866076334275,0.0,0.4,0.0,0.0,0.1,0.20349534883720932,-0.12490406976744195,3.123159883720929,0.5,0.0,0.0,0.6,0.040699069767441864,0.8921126136411013,0.0,0.07737866076334275,0.05429783321862393,0.12610310899490287
2026-03-11,0.7,0.00420556358818434,0.0,0.4,0.0,0.0,0.1,2.047317441860465,0.18845523255813934,2.566091860465116,0.5,0.0,0.0,0.8,0.409463488372093,0.6062811015528092,0.0,-0.031842240896431506,0.0005137765292701716,0.4130515544974514
2026-03-12,0.8,0.0033409133124460214,0.0,0.4,0.0,0.0,0.1,1.4295209302325582,0.3820145348837206,1.330237209302325,0.5,0.0,0.0,0.8,0.28590418604651163,0.5847195469828393,0.0,-0.05583715281436931,0.0033409133124460214,0.6065257772487257
2026-03-13,0.5,-0.022037531075405816,0.0,0.4,0.0,0.0,0.1,0.22162514619883034,-0.4152239766081872,1.1928584795321637,0.5,0.0,0.0,0.6,0.04432502923976607,0.6729246078411806,0.0,-0.07268889081169422,-0.08905239161510367,0.5532628886243629
2026-03-16,0.5,-0.04071004707794287,0.0,0.4,0.0,0.0,0.1,0.30150526315789483,-1.3843432748538014,0.9571672514619874,0.5,0.0,0.0,0.6,0.060301052631578964,0.6527162814673844,0.0,-0.05973437986458367,-0.04071004707794287,0.5266314443121815
